time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-06 00:00:00+00:00,2,2,1,1
2025-01-07 00:00:00+00:00,0,0,12,12
2025-01-08 00:00:00+00:00,21,6,35,7
2025-01-09 00:00:00+00:00,16,11,9,6
2025-01-10 00:00:00+00:00,1,1,2,2
2025-01-11 00:00:00+00:00,5,4,6,5
2025-01-12 00:00:00+00:00,0,0,2,2
2025-01-13 00:00:00+00:00,3,2,129,11
2025-01-14 00:00:00+00:00,7,3,187,18
2025-01-15 00:00:00+00:00,1,1,35,9
2025-01-16 00:00:00+00:00,3,2,104,7
2025-01-17 00:00:00+00:00,0,0,92,10
2025-01-18 00:00:00+00:00,1,1,10,2
2025-01-20 00:00:00+00:00,5,3,83,11
2025-01-21 00:00:00+00:00,6,2,20,6
2025-01-22 00:00:00+00:00,5,4,14,12
2025-01-23 00:00:00+00:00,7,4,11,7
2025-01-24 00:00:00+00:00,5,3,14,12
