time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-06 00:00:00+00:00,2,2,1,1
2025-01-07 00:00:00+00:00,0,0,12,12
2025-01-08 00:00:00+00:00,21,6,35,7
2025-01-09 00:00:00+00:00,16,11,9,6
2025-01-10 00:00:00+00:00,1,1,2,2
2025-01-11 00:00:00+00:00,5,4,6,5
2025-01-12 00:00:00+00:00,0,0,2,2
2025-01-13 00:00:00+00:00,3,2,129,11
2025-01-14 00:00:00+00:00,7,3,187,18
2025-01-15 00:00:00+00:00,1,1,35,9
2025-01-16 00:00:00+00:00,3,2,104,7
2025-01-17 00:00:00+00:00,0,0,92,10
2025-01-18 00:00:00+00:00,1,1,10,2
2025-01-20 00:00:00+00:00,5,3,83,11
2025-01-21 00:00:00+00:00,6,2,20,6
2025-01-22 00:00:00+00:00,5,4,14,12
2025-01-23 00:00:00+00:00,7,4,11,7
2025-01-24 00:00:00+00:00,8,5,14,12
2025-01-25 00:00:00+00:00,1,1,0,0
2025-01-26 00:00:00+00:00,1,1,9,9
2025-01-27 00:00:00+00:00,0,0,48,12
2025-01-28 00:00:00+00:00,2,1,30,3
2025-01-29 00:00:00+00:00,5,4,53,12
2025-01-30 00:00:00+00:00,26,15,9,8
2025-01-31 00:00:00+00:00,25,17,14,7
2025-02-01 00:00:00+00:00,18,14,1,1
2025-02-02 00:00:00+00:00,4,2,12,9
2025-02-03 00:00:00+00:00,7,5,33,15
2025-02-04 00:00:00+00:00,8,4,53,7
2025-02-05 00:00:00+00:00,16,12,35,10
2025-02-06 00:00:00+00:00,28,13,15,7
2025-02-07 00:00:00+00:00,46,26,29,9
2025-02-08 00:00:00+00:00,13,8,4,4
2025-02-09 00:00:00+00:00,5,2,4,3
2025-02-10 00:00:00+00:00,5,2,33,12
2025-02-11 00:00:00+00:00,6,3,30,8
2025-02-12 00:00:00+00:00,5,4,21,20
2025-02-13 00:00:00+00:00,10,7,18,7
2025-02-14 00:00:00+00:00,18,15,10,7
2025-02-15 00:00:00+00:00,4,3,5,3
